Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Journey_Date,Journey_Day,Journey_Month,Journey_Weekday,Duration_min,Total_Stops_num,Dep_Hour,Arr_Hour
Air India,18/05/2019,Kolkata,Banglore,CCU → HYD → BLR,19:00,11:05 19 May,16h 5m,1 stop,No info,6327,2019-05-18,18,5,5,965,1,19,11
Multiple carriers,3/03/2019,Delhi,Cochin,DEL → HYD → COK,07:10,22:20,15h 10m,1 stop,In-flight meal not included,11125,2019-03-03,3,3,6,910,1,7,22
Jet Airways,6/06/2019,Delhi,Cochin,DEL → BOM → COK,22:50,19:00 07 Jun,20h 10m,1 stop,In-flight meal not included,10262,2019-06-06,6,6,3,1210,1,22,19
Jet Airways,9/06/2019,Delhi,Cochin,DEL → BOM → COK,17:30,04:25 10 Jun,10h 55m,1 stop,In-flight meal not included,10262,2019-06-09,9,6,6,655,1,17,4
Air Asia,27/05/2019,Delhi,Cochin,DEL → BLR → COK,16:45,22:25,5h 40m,1 stop,No info,6752,2019-05-27,27,5,0,340,1,16,22
IndiGo,27/05/2019,Banglore,Delhi,BLR → DEL,06:05,08:50,2h 45m,non-stop,No info,4423,2019-05-27,27,5,0,165,0,6,8
Air Asia,21/05/2019,Banglore,Delhi,BLR → DEL,11:10,13:55,2h 45m,non-stop,No info,3383,2019-05-21,21,5,1,165,0,11,13
Air India,15/06/2019,Delhi,Cochin,DEL → UDR → BOM → COK,13:20,07:40 16 Jun,18h 20m,2 stops,No info,12121,2019-06-15,15,6,5,1100,2,13,7
Multiple carriers,9/05/2019,Delhi,Cochin,DEL → BOM → COK,11:40,01:30 10 May,13h 50m,1 stop,No info,9021,2019-05-09,9,5,3,830,1,11,1
Multiple carriers,6/06/2019,Delhi,Cochin,DEL → BOM → COK,11:40,19:15,7h 35m,1 stop,No info,8266,2019-06-06,6,6,3,455,1,11,19
Jet Airways,3/06/2019,Delhi,Cochin,DEL → BOM → COK,19:45,19:00 04 Jun,23h 15m,1 stop,No info,14714,2019-06-03,3,6,0,1395,1,19,19
Air India,27/06/2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,19:15,13h 20m,2 stops,No info,11386,2019-06-27,27,6,3,800,2,5,19
Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:55,08:15 07 Mar,23h 20m,1 stop,No info,14815,2019-03-06,6,3,2,1400,1,8,8
Jet Airways,6/03/2019,Delhi,Cochin,DEL → BOM → COK,09:00,04:25 07 Mar,19h 25m,1 stop,In-flight meal not included,13843,2019-03-06,6,3,2,1165,1,9,4
IndiGo,15/05/2019,Delhi,Cochin,DEL → BOM → COK,07:30,21:00,13h 30m,1 stop,No info,7191,2019-05-15,15,5,2,810,1,7,21
SpiceJet,3/03/2019,Kolkata,Banglore,CCU → BLR,17:15,19:45,2h 30m,non-stop,No info,6251,2019-03-03,3,3,6,150,0,17,19
Jet Airways,27/03/2019,Delhi,Cochin,DEL → MAA → BOM → COK,05:10,04:25 28 Mar,23h 15m,2 stops,In-flight meal not included,9412,2019-03-27,27,3,2,1395,2,5,4
SpiceJet,15/03/2019,Kolkata,Banglore,CCU → BLR,22:20,00:40 16 Mar,2h 20m,non-stop,No check-in baggage included,3815,2019-03-15,15,3,4,140,0,22,0
Air India,15/05/2019,Mumbai,Hyderabad,BOM → HYD,19:30,20:45,1h 15m,non-stop,No info,3100,2019-05-15,15,5,2,75,0,19,20
Vistara,21/06/2019,Delhi,Cochin,DEL → COK,14:40,17:50,3h 10m,non-stop,No info,6216,2019-06-21,21,6,4,190,0,14,17
Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,14:00,01:30 28 Jun,11h 30m,1 stop,No info,13377,2019-06-27,27,6,3,690,1,14,1
IndiGo,21/03/2019,Banglore,New Delhi,BLR → HYD → DEL,07:30,12:20,4h 50m,1 stop,No info,5694,2019-03-21,21,3,3,290,1,7,12
Air India,21/05/2019,Kolkata,Banglore,CCU → VNS → DEL → BLR,14:30,12:30 22 May,22h,2 stops,No info,15107,2019-05-21,21,5,1,1320,2,14,12
Air India,9/03/2019,Delhi,Cochin,DEL → BOM → COK,23:00,19:15 10 Mar,20h 15m,1 stop,No info,11260,2019-03-09,9,3,5,1215,1,23,19
Air India,27/05/2019,Delhi,Cochin,DEL → BOM → COK,08:00,19:15,11h 15m,1 stop,No info,9929,2019-05-27,27,5,0,675,1,8,19
Air India,21/03/2019,Delhi,Cochin,DEL → MAA → COK,20:40,09:25 22 Mar,12h 45m,1 stop,No info,5642,2019-03-21,21,3,3,765,1,20,9
Multiple carriers,9/05/2019,Delhi,Cochin,DEL → BOM → COK,13:00,01:30 10 May,12h 30m,1 stop,No info,15078,2019-05-09,9,5,3,750,1,13,1
Multiple carriers,12/06/2019,Delhi,Cochin,DEL → BOM → COK,14:00,01:30 13 Jun,11h 30m,1 stop,No info,13377,2019-06-12,12,6,2,690,1,14,1
Air India,15/05/2019,Kolkata,Banglore,CCU → DEL → COK → BLR,20:30,13:45 16 May,17h 15m,2 stops,No info,16057,2019-05-15,15,5,2,1035,2,20,13
Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,10:45,5h,1 stop,No info,12284,2019-03-18,18,3,0,300,1,5,10
Jet Airways,18/03/2019,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,1h 30m,non-stop,No info,5678,2019-03-18,18,3,0,90,0,19,21
Multiple carriers,3/03/2019,Delhi,Cochin,DEL → BOM → COK,18:00,01:35 04 Mar,7h 35m,1 stop,No info,17703,2019-03-03,3,3,6,455,1,18,1
IndiGo,3/06/2019,Banglore,Delhi,BLR → DEL,07:10,10:05,2h 55m,non-stop,No info,4823,2019-06-03,3,6,0,175,0,7,10
Air India,1/04/2019,Kolkata,Banglore,CCU → IXR → BBI → BLR,05:50,13:15,7h 25m,2 stops,No info,5562,2019-04-01,1,4,0,445,2,5,13
IndiGo,6/03/2019,Delhi,Cochin,DEL → BBI → COK,02:35,08:30,5h 55m,1 stop,No info,13790,2019-03-06,6,3,2,355,1,2,8
Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,08:15 02 May,15h 45m,1 stop,In-flight meal not included,8586,2019-05-01,1,5,2,945,1,16,8
Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,07:30,19:00,11h 30m,1 stop,No info,11264,2019-05-27,27,5,0,690,1,7,19
Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,04:40 13 May,9h 45m,1 stop,In-flight meal not included,9663,2019-05-12,12,5,6,585,1,18,4
IndiGo,6/06/2019,Delhi,Cochin,DEL → BOM → COK,08:30,21:00,12h 30m,1 stop,No info,6416,2019-06-06,6,6,3,750,1,8,21
IndiGo,9/03/2019,Delhi,Cochin,DEL → BOM → COK,16:00,21:00,5h,1 stop,No info,7725,2019-03-09,9,3,5,300,1,16,21
Jet Airways,1/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,12:35 02 Jun,22h,2 stops,No info,13376,2019-06-01,1,6,5,1320,2,14,12
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,13:55,12:00 25 Mar,22h 5m,1 stop,No info,14231,2019-03-24,24,3,6,1325,1,13,12
Jet Airways,3/03/2019,Delhi,Cochin,DEL → BOM → COK,11:30,04:25 04 Mar,16h 55m,1 stop,No info,19828,2019-03-03,3,3,6,1015,1,11,4
Jet Airways,27/03/2019,Mumbai,Hyderabad,BOM → HYD,07:10,08:35,1h 25m,non-stop,No info,8040,2019-03-27,27,3,2,85,0,7,8
Air India,01/03/2019,Banglore,New Delhi,BLR → DEL,17:00,19:45,2h 45m,non-stop,No info,25913,2019-03-01,1,3,4,165,0,17,19
Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,09:00,19:00,10h,1 stop,No info,16079,2019-05-21,21,5,1,600,1,9,19
Air India,3/03/2019,Mumbai,Hyderabad,BOM → HYD,21:05,22:25,1h 20m,non-stop,No info,4937,2019-03-03,3,3,6,80,0,21,22
Air India,27/06/2019,Delhi,Cochin,DEL → HYD → BOM → COK,17:15,07:40 28 Jun,14h 25m,2 stops,No info,13039,2019-06-27,27,6,3,865,2,17,7
Jet Airways,1/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,14:25 02 May,18h,1 stop,In-flight meal not included,9314,2019-05-01,1,5,2,1080,1,20,14
SpiceJet,27/06/2019,Delhi,Cochin,DEL → BLR → COK,17:55,22:50,4h 55m,1 stop,No info,4957,2019-06-27,27,6,3,295,1,17,22
Multiple carriers,3/03/2019,Delhi,Cochin,DEL → BOM → COK,04:00,11:30,7h 30m,1 stop,No info,14973,2019-03-03,3,3,6,450,1,4,11
Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,16:20,7h 55m,1 stop,No info,14571,2019-06-09,9,6,6,475,1,8,16
IndiGo,6/05/2019,Kolkata,Banglore,CCU → BLR,14:25,16:55,2h 30m,non-stop,No info,5224,2019-05-06,6,5,0,150,0,14,16
Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,09:15,19:00,9h 45m,1 stop,No info,11622,2019-06-24,24,6,0,585,1,9,19
GoAir,27/05/2019,Banglore,Delhi,BLR → DEL,20:55,23:40,2h 45m,non-stop,No info,3419,2019-05-27,27,5,0,165,0,20,23
Jet Airways,1/06/2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:30,12:35,7h 5m,2 stops,In-flight meal not included,13344,2019-06-01,1,6,5,425,2,5,12
IndiGo,6/06/2019,Delhi,Cochin,DEL → BOM → COK,16:00,01:30 07 Jun,9h 30m,1 stop,No info,6316,2019-06-06,6,6,3,570,1,16,1
IndiGo,21/06/2019,Mumbai,Hyderabad,BOM → HYD,16:55,18:25,1h 30m,non-stop,No info,4392,2019-06-21,21,6,4,90,0,16,18
Jet Airways,18/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,13:25,04:25 19 May,15h,2 stops,No info,16704,2019-05-18,18,5,5,900,2,13,4
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,12:00 13 Jun,17h 5m,1 stop,In-flight meal not included,8529,2019-06-12,12,6,2,1025,1,18,12
Jet Airways,12/06/2019,Delhi,Cochin,DEL → ATQ → BOM → COK,12:15,12:35 13 Jun,24h 20m,2 stops,No info,14300,2019-06-12,12,6,2,1460,2,12,12
Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,13:00,01:30 28 May,12h 30m,1 stop,No info,7198,2019-05-27,27,5,0,750,1,13,1
Jet Airways,12/06/2019,Delhi,Cochin,DEL → ATQ → BOM → COK,18:20,19:00 13 Jun,24h 40m,2 stops,No info,14300,2019-06-12,12,6,2,1480,2,18,19
Jet Airways,3/04/2019,Banglore,Delhi,BLR → DEL,18:55,22:00,3h 5m,non-stop,No info,7229,2019-04-03,3,4,2,185,0,18,22
SpiceJet,9/06/2019,Kolkata,Banglore,CCU → BLR,09:00,11:25,2h 25m,non-stop,No check-in baggage included,3841,2019-06-09,9,6,6,145,0,9,11
Jet Airways,1/05/2019,Banglore,Delhi,BLR → DEL,06:00,08:45,2h 45m,non-stop,In-flight meal not included,4030,2019-05-01,1,5,2,165,0,6,8
Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,20:55,04:25 22 May,7h 30m,1 stop,No info,16079,2019-05-21,21,5,1,450,1,20,4
IndiGo,27/05/2019,Mumbai,Hyderabad,BOM → HYD,12:00,13:30,1h 30m,non-stop,No info,2754,2019-05-27,27,5,0,90,0,12,13
IndiGo,3/06/2019,Delhi,Cochin,DEL → BLR → COK,05:10,10:05,4h 55m,1 stop,No info,6842,2019-06-03,3,6,0,295,1,5,10
Vistara,24/03/2019,Banglore,New Delhi,BLR → DEL,09:50,12:35,2h 45m,non-stop,No info,6138,2019-03-24,24,3,6,165,0,9,12
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,04:40 13 Jun,8h 40m,1 stop,No info,12576,2019-06-12,12,6,2,520,1,20,4
Jet Airways,12/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,14:25 13 May,28h 50m,1 stop,No info,13067,2019-05-12,12,5,6,1730,1,9,14
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → GAU → BLR,10:20,17:35,7h 15m,1 stop,No info,9358,2019-05-06,6,5,0,435,1,10,17
Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,04:40 10 May,20h 15m,1 stop,In-flight meal not included,8586,2019-05-09,9,5,3,1215,1,8,4
Air India,6/04/2019,Banglore,Delhi,BLR → DEL,13:20,16:10,2h 50m,non-stop,No info,5176,2019-04-06,6,4,5,170,0,13,16
Air India,15/06/2019,Delhi,Cochin,DEL → MAA → COK,20:40,09:25 16 Jun,12h 45m,1 stop,No info,7480,2019-06-15,15,6,5,765,1,20,9
Air India,6/06/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,05:50,12:30 07 Jun,30h 40m,2 stops,No info,12723,2019-06-06,6,6,3,1840,2,5,12
Air India,1/04/2019,Kolkata,Banglore,CCU → BBI → BLR,09:10,13:15,4h 5m,1 stop,No info,5793,2019-04-01,1,4,0,245,1,9,13
Multiple carriers,12/06/2019,Delhi,Cochin,DEL → BOM → COK,09:00,19:15,10h 15m,1 stop,No info,14848,2019-06-12,12,6,2,615,1,9,19
Air India,15/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,05:00,19:15 16 May,38h 15m,2 stops,No info,10493,2019-05-15,15,5,2,2295,2,5,19
Jet Airways,9/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,18:00 10 May,21h 35m,1 stop,No info,11467,2019-05-09,9,5,3,1295,1,20,18
Air India,27/05/2019,Delhi,Cochin,DEL → BOM → COK,03:50,19:15,15h 25m,1 stop,No info,9719,2019-05-27,27,5,0,925,1,3,19
SpiceJet,15/04/2019,Kolkata,Banglore,CCU → BLR,22:20,00:40 16 Apr,2h 20m,non-stop,No info,3873,2019-04-15,15,4,0,140,0,22,0
IndiGo,21/03/2019,Delhi,Cochin,DEL → MAA → COK,02:05,07:25,5h 20m,1 stop,No info,4862,2019-03-21,21,3,3,320,1,2,7
SpiceJet,3/04/2019,Banglore,Delhi,BLR → DEL,09:30,12:20,2h 50m,non-stop,No info,3971,2019-04-03,3,4,2,170,0,9,12
Jet Airways,21/03/2019,Banglore,New Delhi,BLR → BOM → DEL,11:40,10:25 19 Mar,22h 45m,1 stop,In-flight meal not included,7832,2019-03-21,21,3,3,1365,1,11,10
SpiceJet,21/05/2019,Banglore,Delhi,BLR → DEL,09:30,12:20,2h 50m,non-stop,No info,3625,2019-05-21,21,5,1,170,0,9,12
Vistara,1/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,18:50 02 May,25h 50m,1 stop,No info,8610,2019-05-01,1,5,2,1550,1,17,18
Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,09:00,15:30,6h 30m,1 stop,No info,14486,2019-03-21,21,3,3,390,1,9,15
SpiceJet,9/05/2019,Kolkata,Banglore,CCU → BLR,09:00,11:25,2h 25m,non-stop,No check-in baggage included,3841,2019-05-09,9,5,3,145,0,9,11
Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,04:40 10 May,14h 35m,1 stop,No info,13941,2019-05-09,9,5,3,875,1,14,4
IndiGo,12/05/2019,Banglore,Delhi,BLR → DEL,18:55,21:50,2h 55m,non-stop,No info,4823,2019-05-12,12,5,6,175,0,18,21
Air India,1/05/2019,Kolkata,Banglore,CCU → BBI → BOM → BLR,09:10,21:50,12h 40m,2 stops,No info,12009,2019-05-01,1,5,2,760,2,9,21
SpiceJet,21/06/2019,Chennai,Kolkata,MAA → CCU,08:20,10:35,2h 15m,non-stop,No info,3597,2019-06-21,21,6,4,135,0,8,10
Multiple carriers,3/03/2019,Delhi,Cochin,DEL → BOM → COK,16:00,01:35 04 Mar,9h 35m,1 stop,No info,21226,2019-03-03,3,3,6,575,1,16,1
Jet Airways,9/06/2019,Delhi,Cochin,DEL → BOM → COK,19:15,12:35 10 Jun,17h 20m,1 stop,In-flight meal not included,10577,2019-06-09,9,6,6,1040,1,19,12
Air Asia,12/05/2019,Kolkata,Banglore,CCU → DEL → BLR,07:35,19:25,11h 50m,1 stop,No info,5320,2019-05-12,12,5,6,710,1,7,19
IndiGo,21/03/2019,Banglore,New Delhi,BLR → DEL,07:10,10:05,2h 55m,non-stop,No info,6860,2019-03-21,21,3,3,175,0,7,10
SpiceJet,21/03/2019,Mumbai,Hyderabad,BOM → HYD,22:45,00:10 22 Mar,1h 25m,non-stop,No info,1759,2019-03-21,21,3,3,85,0,22,0
Jet Airways,27/03/2019,Delhi,Cochin,DEL → BOM → COK,11:30,04:25 28 Mar,16h 55m,1 stop,No info,12242,2019-03-27,27,3,2,1015,1,11,4
SpiceJet,3/06/2019,Kolkata,Banglore,CCU → BLR,22:20,00:40 04 Jun,2h 20m,non-stop,No check-in baggage included,3841,2019-06-03,3,6,0,140,0,22,0
Jet Airways,27/05/2019,Banglore,Delhi,BLR → DEL,15:15,18:10,2h 55m,non-stop,In-flight meal not included,3502,2019-05-27,27,5,0,175,0,15,18
Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,23:35,9h 30m,1 stop,In-flight meal not included,10844,2019-05-09,9,5,3,570,1,14,23
IndiGo,9/04/2019,Kolkata,Banglore,CCU → BLR,21:25,00:05 10 Apr,2h 40m,non-stop,No info,4174,2019-04-09,9,4,1,160,0,21,0
Jet Airways,9/06/2019,Kolkata,Banglore,CCU → GAU → BLR,10:20,17:35,7h 15m,1 stop,In-flight meal not included,5608,2019-06-09,9,6,6,435,1,10,17
IndiGo,24/05/2019,Kolkata,Banglore,CCU → PAT → BLR,09:20,14:15,4h 55m,1 stop,No info,9376,2019-05-24,24,5,4,295,1,9,14
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,16:20 07 May,19h 10m,1 stop,No info,13584,2019-05-06,6,5,0,1150,1,21,16
Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,08:30,19:15,10h 45m,1 stop,No info,7354,2019-06-24,24,6,0,645,1,8,19
Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,18:15 13 May,22h 15m,1 stop,In-flight meal not included,10844,2019-05-12,12,5,6,1335,1,20,18
Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,08:15 13 May,13h 20m,1 stop,No info,14388,2019-05-12,12,5,6,800,1,18,8
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,05:45,16:20,10h 35m,1 stop,No info,14781,2019-05-18,18,5,5,635,1,5,16
Air India,27/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,12:00,19:15,7h 15m,2 stops,No info,9653,2019-05-27,27,5,0,435,2,12,19
Jet Airways,9/06/2019,Delhi,Cochin,DEL → BOM → COK,10:00,04:25 10 Jun,18h 25m,1 stop,In-flight meal not included,10262,2019-06-09,9,6,6,1105,1,10,4
IndiGo,6/06/2019,Delhi,Cochin,DEL → HYD → COK,06:50,22:30,15h 40m,1 stop,No info,6674,2019-06-06,6,6,3,940,1,6,22
IndiGo,3/03/2019,Delhi,Cochin,DEL → HYD → COK,08:35,16:10,7h 35m,1 stop,No info,7663,2019-03-03,3,3,6,455,1,8,16
SpiceJet,18/04/2019,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No check-in baggage included,4319,2019-04-18,18,4,3,160,0,5,8
Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,02:15,19:00,16h 45m,1 stop,In-flight meal not included,12373,2019-05-18,18,5,5,1005,1,2,19
Jet Airways,9/04/2019,Delhi,Cochin,DEL → BOM → COK,22:50,04:25 10 Apr,5h 35m,1 stop,No info,12242,2019-04-09,9,4,1,335,1,22,4
Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,08:00,19:00,11h,1 stop,No info,16289,2019-05-27,27,5,0,660,1,8,19
GoAir,3/06/2019,Banglore,Delhi,BLR → DEL,20:55,23:40,2h 45m,non-stop,No info,3419,2019-06-03,3,6,0,165,0,20,23
Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,16:20,7h 55m,1 stop,In-flight meal not included,7851,2019-04-01,1,4,0,475,1,8,16
Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,15:15,9h 30m,1 stop,No info,12284,2019-03-18,18,3,0,570,1,5,15
IndiGo,15/06/2019,Delhi,Cochin,DEL → BLR → COK,02:00,07:45,5h 45m,1 stop,No info,6386,2019-06-15,15,6,5,345,1,2,7
Jet Airways,27/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,04:25 29 Jun,29h 20m,2 stops,No info,15339,2019-06-27,27,6,3,1760,2,23,4
SpiceJet,12/05/2019,Mumbai,Hyderabad,BOM → HYD,22:45,00:15 13 May,1h 30m,non-stop,No info,2017,2019-05-12,12,5,6,90,0,22,0
Jet Airways,18/05/2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:30,12:35,7h 5m,2 stops,No info,16274,2019-05-18,18,5,5,425,2,5,12
IndiGo,21/03/2019,Delhi,Cochin,DEL → TRV → COK,21:05,01:45 22 Mar,4h 40m,1 stop,No info,5947,2019-03-21,21,3,3,280,1,21,1
Jet Airways,21/03/2019,Mumbai,Hyderabad,BOM → HYD,07:10,08:35,1h 25m,non-stop,No info,8040,2019-03-21,21,3,3,85,0,7,8
Jet Airways,12/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,12:35 13 Jun,26h 55m,2 stops,In-flight meal not included,10368,2019-06-12,12,6,2,1615,2,9,12
Air India,18/05/2019,Delhi,Cochin,DEL → BLR → COK,20:30,23:00 19 May,26h 30m,1 stop,No info,8907,2019-05-18,18,5,5,1590,1,20,23
IndiGo,6/06/2019,Mumbai,Hyderabad,BOM → HYD,06:25,07:55,1h 30m,non-stop,No info,4049,2019-06-06,6,6,3,90,0,6,7
Air India,03/03/2019,Banglore,New Delhi,BLR → DEL,10:00,12:45,2h 45m,non-stop,No info,8588,2019-03-03,3,3,6,165,0,10,12
Jet Airways,27/05/2019,Banglore,Delhi,BLR → DEL,19:50,22:50,3h,non-stop,No info,7229,2019-05-27,27,5,0,180,0,19,22
IndiGo,6/05/2019,Banglore,Delhi,BLR → DEL,21:15,00:15 07 May,3h,non-stop,No info,3943,2019-05-06,6,5,0,180,0,21,0
Air Asia,3/05/2019,Banglore,Delhi,BLR → DEL,23:55,02:45 04 May,2h 50m,non-stop,No info,4483,2019-05-03,3,5,4,170,0,23,2
Air India,21/05/2019,Kolkata,Banglore,CCU → BBI → BOM → BLR,12:00,18:30 22 May,30h 30m,2 stops,No info,10151,2019-05-21,21,5,1,1830,2,12,18
IndiGo,18/06/2019,Banglore,Delhi,BLR → DEL,22:10,01:00 19 Jun,2h 50m,non-stop,No info,3419,2019-06-18,18,6,1,170,0,22,1
Air India,18/05/2019,Delhi,Cochin,DEL → GOI → BOM → COK,10:55,07:40 19 May,20h 45m,2 stops,No info,13486,2019-05-18,18,5,5,1245,2,10,7
Vistara,9/06/2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,18:50 10 Jun,22h 30m,1 stop,No info,8610,2019-06-09,9,6,6,1350,1,20,18
GoAir,15/06/2019,Banglore,Delhi,BLR → DEL,11:40,14:30,2h 50m,non-stop,No info,3898,2019-06-15,15,6,5,170,0,11,14
Air India,24/03/2019,Kolkata,Banglore,CCU → BBI → BOM → BLR,09:10,11:10 25 Mar,26h,2 stops,No info,15187,2019-03-24,24,3,6,1560,2,9,11
IndiGo,1/03/2019,Delhi,Cochin,DEL → HYD → MAA → COK,04:55,21:20,16h 25m,2 stops,No info,10278,2019-03-01,1,3,4,985,2,4,21
IndiGo,15/04/2019,Delhi,Cochin,DEL → HYD → COK,06:50,16:10,9h 20m,1 stop,No info,6442,2019-04-15,15,4,0,560,1,6,16
Jet Airways,3/06/2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:30,12:35,7h 5m,2 stops,In-flight meal not included,13344,2019-06-03,3,6,0,425,2,5,12
Air India,15/03/2019,Banglore,New Delhi,BLR → HYD → DEL,08:15,08:50 16 Mar,24h 35m,1 stop,No info,5521,2019-03-15,15,3,4,1475,1,8,8
IndiGo,27/05/2019,Chennai,Kolkata,MAA → CCU,13:15,15:35,2h 20m,non-stop,No info,3597,2019-05-27,27,5,0,140,0,13,15
Air India,09/03/2019,Banglore,New Delhi,BLR → CCU → DEL,11:05,09:15 13 Mar,22h 10m,1 stop,No info,11077,2019-03-09,9,3,5,1330,1,11,9
Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,18:00,01:35 28 Mar,7h 35m,1 stop,No info,6673,2019-03-27,27,3,2,455,1,18,1
Air India,9/06/2019,Delhi,Cochin,DEL → HYD → BOM → COK,17:15,19:15 10 Jun,26h,2 stops,No info,12392,2019-06-09,9,6,6,1560,2,17,19
Air India,6/03/2019,Mumbai,Hyderabad,BOM → MAA → HYD,05:55,22:00,16h 5m,1 stop,No info,10366,2019-03-06,6,3,2,965,1,5,22
Air India,15/06/2019,Delhi,Cochin,DEL → RPR → NAG → BOM → COK,05:15,19:15 16 Jun,38h,3 stops,No info,10703,2019-06-15,15,6,5,2280,3,5,19
Air India,9/05/2019,Delhi,Cochin,DEL → BLR → COK,09:45,23:00,13h 15m,1 stop,No info,7174,2019-05-09,9,5,3,795,1,9,23
Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,22:50,09:30 16 Mar,10h 40m,1 stop,In-flight meal not included,11087,2019-03-18,18,3,0,640,1,22,9
Air Asia,27/04/2019,Banglore,Delhi,BLR → DEL,23:55,02:45 28 Apr,2h 50m,non-stop,No info,3383,2019-04-27,27,4,5,170,0,23,2
Air India,6/06/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,16:45,08:55 07 Jun,16h 10m,2 stops,No info,14960,2019-06-06,6,6,3,970,2,16,8
Jet Airways,1/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,09:45 02 May,13h 20m,1 stop,No info,11467,2019-05-01,1,5,2,800,1,20,9
Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,09:00,15:30,6h 30m,1 stop,No info,6673,2019-03-27,27,3,2,390,1,9,15
Air India,27/06/2019,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,1h 30m,non-stop,No info,3100,2019-06-27,27,6,3,90,0,13,15
Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,16:10,10h 25m,1 stop,No info,16736,2019-03-06,6,3,2,625,1,5,16
Air India,1/04/2019,Delhi,Cochin,DEL → MAA → COK,20:40,09:25 02 Apr,12h 45m,1 stop,No info,5117,2019-04-01,1,4,0,765,1,20,9
Jet Airways,21/03/2019,Delhi,Cochin,DEL → BDQ → BOM → COK,10:45,18:50 22 Mar,32h 5m,2 stops,No info,11093,2019-03-21,21,3,3,1925,2,10,18
GoAir,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,23:30,07:45 10 Jun,8h 15m,1 stop,No info,6354,2019-06-09,9,6,6,495,1,23,7
Air India,18/03/2019,Delhi,Cochin,DEL → COK,14:10,17:10,3h,non-stop,No info,5674,2019-03-18,18,3,0,180,0,14,17
Jet Airways,27/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,04:25 28 May,18h 45m,2 stops,In-flight meal not included,13029,2019-05-27,27,5,0,1125,2,9,4
